Issue Number,Parent Issue,Issue URL,Title,Assignees,Status,Type,Area,Priority,Initiative,Version,Size,Estimate,Time Spent,Remaining Work,Σ Estimate,Σ Time Spent,Σ Remaining Work,External Reference,Comments
2282,,https://github.com/apache/incubator-kie-issues/issues/2282,Droolsvol2 bilinear cache,Rikkola,In review,,Runtimes,Normal,,Future,XS,1.0,0.9,0.1,1.0,0.9,0.1,,
2281,,https://github.com/apache/incubator-kie-issues/issues/2281,DRLGEN Second level of DRL generation,Rikkola,In progress,,Runtimes,Minor,,Future,S,1.0,0.2,0.8,1.0,0.2,0.8,,
2110,,https://github.com/apache/incubator-kie-issues/issues/2110,Drools bi-linear networks,Rikkola,In review,,Runtimes,Normal,,Future,L,5.0,4.0,1.0,5.0,4.0,1.0,,
169,,https://github.com/kiegroup/drools-ansible-rulebook-integration/issues/169,EDA : Add more load test for HA,tkobayas,In progress,,QE,Major,,Future,M,0.5,0.3,0.2,0.5,0.3,0.2,,
168,,https://github.com/kiegroup/drools-ansible-rulebook-integration/issues/168,EDA : Details for the 1st HA release,tkobayas,In progress,,Runtimes,Major,,Future,L,3.0,1.0,2.0,3.0,1.0,2.0,,
15,4,https://github.com/tkobayas/drlx-parser/issues/15,Switch runtime to RuleUnitInstance model,tkobayas,Next,,Runtimes,Normal,,,S,0.1,,,,,,,
13,4,https://github.com/tkobayas/drlx-parser/issues/13,"Add property-reactive watch list (`[][basePay, bonusPay]`)",tkobayas,Next,,Runtimes,Major,,,S,0.1,,,,,,,
12,4,https://github.com/tkobayas/drlx-parser/issues/12,Add `if` / `else` branching in rule body,tkobayas,Next,,Runtimes,Major,,,S,0.1,,,,,,,
11,4,https://github.com/tkobayas/drlx-parser/issues/11,Add `or()` / `and()` group conditional elements,tkobayas,Next,,Runtimes,Major,,,S,0.1,,,,,,,
10,4,https://github.com/tkobayas/drlx-parser/issues/10,Add passive pattern syntax (`?/persons[...]`),tkobayas,Next,,Runtimes,Major,,,S,0.1,,,,,,,
9,4,https://github.com/tkobayas/drlx-parser/issues/9,Add `exists /pattern` syntax,tkobayas,Next,,Runtimes,Major,,,S,0.1,,,,,,,
8,2,https://github.com/casehubio/engine/issues/8,Runtime refactor: remove dependency on JQEvaluator,treblereel,In progress,,Runtimes,Normal,,Future,M,0.4,0.0,0.4,0.4,0.0,0.4,,
4,,https://github.com/tkobayas/drlx-parser/issues/4,DrlxCompiler enhancement round 1,tkobayas,In progress,,Runtimes,Major,,Future,L,3.0,0.4,2.6,3.0,0.4,2.6,,
4,2,https://github.com/casehubio/engine/issues/4,Refactor ExpressionEvaluator hierarchy,treblereel,In progress,,Runtimes,Normal,,Future,M,0.6,0.0,0.6,0.6,0.0,0.6,,
